task_id,task_domain,task_type,difficulty,task_description,constraints,required_capabilities,expected_tools,available_tools,ground_truth,success_criteria
task_00025,api_workflows,api_workflows,easy,Call the quarterly revenue trends API and assemble a report combining 5 endpoint responses.,Must use only tools from the api_workflows toolset,api workflows,"api_client,validator,calculator","api_client,validator,calculator,browser",gt_api_workflows_quarterly_revenue_trends_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00026,file_operations,file_operations,easy,"Read competitor feature matrix, transform it, and write 4 output files with the results.",Must use only tools from the file_operations toolset,file operations,"file_reader,file_writer,validator","file_reader,file_writer,validator,code_executor",gt_file_operations_competitor_feature_matrix_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00027,information_retrieval,information_retrieval,medium,Find the 2 most relevant sources for server incident timeline and rank them by relevance.,Must use only tools from the information_retrieval toolset; Must return exactly 2 items,information retrieval,"web_search,doc_retriever,validator","web_search,doc_retriever,validator,file_reader",gt_information_retrieval_server_incident_timeline_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00028,api_workflows,api_workflows,medium,Call the pricing tier comparison API and assemble a report combining 3 endpoint responses.,Must use only tools from the api_workflows toolset; Must return exactly 3 items,api workflows,"api_client,validator,calculator","api_client,validator,calculator,browser",gt_api_workflows_pricing_tier_comparison_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00029,api_workflows,api_workflows,hard,Call the vendor contract terms API and assemble a report combining 3 endpoint responses.,Must use only tools from the api_workflows toolset; Must return exactly 3 items; Must cite the source of every factual claim,api workflows,"api_client,validator,calculator","api_client,validator,calculator",gt_api_workflows_vendor_contract_terms_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00030,rag,rag,easy,Answer the question about hiring pipeline metrics grounded only in the retrieved 5 passages.,Must use only tools from the rag toolset,rag,"doc_retriever,web_search,validator","doc_retriever,web_search,validator",gt_rag_hiring_pipeline_metrics_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00031,coding,coding,medium,Write and run a script that solves budget variance analysis and returns the result for 4 test cases.,Must use only tools from the coding toolset; Must return exactly 4 items,coding,"code_executor,file_reader,file_writer","code_executor,file_reader,file_writer,sql_query",gt_coding_budget_variance_analysis_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00032,coding,coding,hard,Write and run a script that solves vendor contract terms and returns the result for 3 test cases.,Must use only tools from the coding toolset; Must return exactly 3 items; Must cite the source of every factual claim,coding,"code_executor,file_reader,file_writer","code_executor,file_reader,file_writer,sql_query",gt_coding_vendor_contract_terms_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00033,file_operations,file_operations,medium,"Read regional sales performance, transform it, and write 4 output files with the results.",Must use only tools from the file_operations toolset; Must return exactly 4 items,file operations,"file_reader,file_writer,validator","file_reader,file_writer,validator",gt_file_operations_regional_sales_performance_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00034,data_analysis,data_analysis,hard,Query the marketing campaign ROI table and compute the requested aggregate for the last 4 periods.,Must use only tools from the data_analysis toolset; Must return exactly 4 items; Must cite the source of every factual claim,data analysis,"sql_query,calculator,code_executor","sql_query,calculator,code_executor,api_client",gt_data_analysis_marketing_campaign_ROI_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00035,api_workflows,api_workflows,medium,Call the pricing tier comparison API and assemble a report combining 2 endpoint responses.,Must use only tools from the api_workflows toolset; Must return exactly 2 items,api workflows,"api_client,validator,calculator","api_client,validator,calculator,browser",gt_api_workflows_pricing_tier_comparison_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00036,multi_step_reasoning,multi_step_reasoning,medium,Answer a multi-step question about hiring pipeline metrics requiring 2 intermediate computations.,Must use only tools from the multi_step_reasoning toolset; Must return exactly 2 items,multi step reasoning,"calculator,sql_query,validator","calculator,sql_query,validator,code_executor",gt_multi_step_reasoning_hiring_pipeline_metrics_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00037,data_analysis,data_analysis,easy,Query the regional sales performance table and compute the requested aggregate for the last 4 periods.,Must use only tools from the data_analysis toolset,data analysis,"sql_query,calculator,code_executor","sql_query,calculator,code_executor",gt_data_analysis_regional_sales_performance_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00038,document_analysis,document_analysis,easy,Read the provided document set on inventory reorder points and extract the 5 key claims with citations.,Must use only tools from the document_analysis toolset,document analysis,"doc_retriever,file_reader,validator","doc_retriever,file_reader,validator",gt_document_analysis_inventory_reorder_points_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00039,planning,planning,medium,Produce a 3-step plan to accomplish regional sales performance respecting the stated constraints.,Must use only tools from the planning toolset; Must return exactly 3 items,planning,"doc_retriever,calculator,validator","doc_retriever,calculator,validator",gt_planning_regional_sales_performance_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00040,web_research,web_research,medium,Research marketing campaign ROI using web search and summarize the top 5 findings with sources.,Must use only tools from the web_research toolset; Must return exactly 5 items,web research,"web_search,browser,validator","web_search,browser,validator,api_client",gt_web_research_marketing_campaign_ROI_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00041,coding,coding,medium,Write and run a script that solves marketing campaign ROI and returns the result for 3 test cases.,Must use only tools from the coding toolset; Must return exactly 3 items,coding,"code_executor,file_reader,file_writer","code_executor,file_reader,file_writer",gt_coding_marketing_campaign_ROI_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00042,verification,verification,medium,Verify the 3 claims about warehouse capacity planning against the source data and flag unsupported ones.,Must use only tools from the verification toolset; Must return exactly 3 items,verification,"validator,sql_query,calculator","validator,sql_query,calculator,web_search",gt_verification_warehouse_capacity_planning_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00043,structured_extraction,structured_extraction,medium,Extract 3 structured fields describing supply chain bottlenecks from the source file.,Must use only tools from the structured_extraction toolset; Must return exactly 3 items,structured extraction,"file_reader,doc_retriever,validator","file_reader,doc_retriever,validator",gt_structured_extraction_supply_chain_bottlenecks_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00044,web_research,web_research,hard,Research supply chain bottlenecks using web search and summarize the top 2 findings with sources.,Must use only tools from the web_research toolset; Must return exactly 2 items; Must cite the source of every factual claim,web research,"web_search,browser,validator","web_search,browser,validator",gt_web_research_supply_chain_bottlenecks_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00045,api_workflows,api_workflows,medium,Call the vendor contract terms API and assemble a report combining 2 endpoint responses.,Must use only tools from the api_workflows toolset; Must return exactly 2 items,api workflows,"api_client,validator,calculator","api_client,validator,calculator",gt_api_workflows_vendor_contract_terms_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00046,coding,coding,medium,Write and run a script that solves competitor feature matrix and returns the result for 5 test cases.,Must use only tools from the coding toolset; Must return exactly 5 items,coding,"code_executor,file_reader,file_writer","code_executor,file_reader,file_writer,sql_query",gt_coding_competitor_feature_matrix_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00047,structured_extraction,structured_extraction,easy,Extract 2 structured fields describing competitor feature matrix from the source file.,Must use only tools from the structured_extraction toolset,structured extraction,"file_reader,doc_retriever,validator","file_reader,doc_retriever,validator",gt_structured_extraction_competitor_feature_matrix_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00048,web_research,web_research,medium,Research regional sales performance using web search and summarize the top 5 findings with sources.,Must use only tools from the web_research toolset; Must return exactly 5 items,web research,"web_search,browser,validator","web_search,browser,validator",gt_web_research_regional_sales_performance_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00049,verification,verification,hard,Verify the 4 claims about regional sales performance against the source data and flag unsupported ones.,Must use only tools from the verification toolset; Must return exactly 4 items; Must cite the source of every factual claim,verification,"validator,sql_query,calculator","validator,sql_query,calculator",gt_verification_regional_sales_performance_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00050,coding,coding,easy,Write and run a script that solves energy usage patterns and returns the result for 5 test cases.,Must use only tools from the coding toolset,coding,"code_executor,file_reader,file_writer","code_executor,file_reader,file_writer,sql_query",gt_coding_energy_usage_patterns_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00051,information_retrieval,information_retrieval,medium,Find the 5 most relevant sources for quarterly revenue trends and rank them by relevance.,Must use only tools from the information_retrieval toolset; Must return exactly 5 items,information retrieval,"web_search,doc_retriever,validator","web_search,doc_retriever,validator",gt_information_retrieval_quarterly_revenue_trends_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00052,verification,verification,medium,Verify the 5 claims about warehouse capacity planning against the source data and flag unsupported ones.,Must use only tools from the verification toolset; Must return exactly 5 items,verification,"validator,sql_query,calculator","validator,sql_query,calculator",gt_verification_warehouse_capacity_planning_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00053,document_analysis,document_analysis,easy,Read the provided document set on supply chain bottlenecks and extract the 2 key claims with citations.,Must use only tools from the document_analysis toolset,document analysis,"doc_retriever,file_reader,validator","doc_retriever,file_reader,validator",gt_document_analysis_supply_chain_bottlenecks_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00054,constraint_satisfaction,constraint_satisfaction,medium,Find an assignment for subscription renewal rates satisfying all 2 stated constraints.,Must use only tools from the constraint_satisfaction toolset; Must return exactly 2 items,constraint satisfaction,"validator,calculator,sql_query","validator,calculator,sql_query",gt_constraint_satisfaction_subscription_renewal_rates_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00055,api_workflows,api_workflows,hard,Call the inventory reorder points API and assemble a report combining 5 endpoint responses.,Must use only tools from the api_workflows toolset; Must return exactly 5 items; Must cite the source of every factual claim,api workflows,"api_client,validator,calculator","api_client,validator,calculator,browser",gt_api_workflows_inventory_reorder_points_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00056,coding,coding,hard,Write and run a script that solves subscription renewal rates and returns the result for 2 test cases.,Must use only tools from the coding toolset; Must return exactly 2 items; Must cite the source of every factual claim,coding,"code_executor,file_reader,file_writer","code_executor,file_reader,file_writer,sql_query",gt_coding_subscription_renewal_rates_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00057,api_workflows,api_workflows,hard,Call the support ticket backlog API and assemble a report combining 2 endpoint responses.,Must use only tools from the api_workflows toolset; Must return exactly 2 items; Must cite the source of every factual claim,api workflows,"api_client,validator,calculator","api_client,validator,calculator,browser",gt_api_workflows_support_ticket_backlog_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00058,data_analysis,data_analysis,hard,Query the regional sales performance table and compute the requested aggregate for the last 5 periods.,Must use only tools from the data_analysis toolset; Must return exactly 5 items; Must cite the source of every factual claim,data analysis,"sql_query,calculator,code_executor","sql_query,calculator,code_executor",gt_data_analysis_regional_sales_performance_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00059,planning,planning,easy,Produce a 2-step plan to accomplish vendor contract terms respecting the stated constraints.,Must use only tools from the planning toolset,planning,"doc_retriever,calculator,validator","doc_retriever,calculator,validator,web_search",gt_planning_vendor_contract_terms_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00060,data_analysis,data_analysis,medium,Query the energy usage patterns table and compute the requested aggregate for the last 2 periods.,Must use only tools from the data_analysis toolset; Must return exactly 2 items,data analysis,"sql_query,calculator,code_executor","sql_query,calculator,code_executor",gt_data_analysis_energy_usage_patterns_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00061,verification,verification,medium,Verify the 3 claims about server incident timeline against the source data and flag unsupported ones.,Must use only tools from the verification toolset; Must return exactly 3 items,verification,"validator,sql_query,calculator","validator,sql_query,calculator",gt_verification_server_incident_timeline_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00062,data_analysis,data_analysis,medium,Query the customer churn drivers table and compute the requested aggregate for the last 4 periods.,Must use only tools from the data_analysis toolset; Must return exactly 4 items,data analysis,"sql_query,calculator,code_executor","sql_query,calculator,code_executor,api_client",gt_data_analysis_customer_churn_drivers_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00063,planning,planning,hard,Produce a 2-step plan to accomplish vendor contract terms respecting the stated constraints.,Must use only tools from the planning toolset; Must return exactly 2 items; Must cite the source of every factual claim,planning,"doc_retriever,calculator,validator","doc_retriever,calculator,validator,web_search",gt_planning_vendor_contract_terms_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00064,planning,planning,medium,Produce a 4-step plan to accomplish supply chain bottlenecks respecting the stated constraints.,Must use only tools from the planning toolset; Must return exactly 4 items,planning,"doc_retriever,calculator,validator","doc_retriever,calculator,validator",gt_planning_supply_chain_bottlenecks_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00065,information_retrieval,information_retrieval,hard,Find the 3 most relevant sources for inventory reorder points and rank them by relevance.,Must use only tools from the information_retrieval toolset; Must return exactly 3 items; Must cite the source of every factual claim,information retrieval,"web_search,doc_retriever,validator","web_search,doc_retriever,validator",gt_information_retrieval_inventory_reorder_points_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00066,web_research,web_research,medium,Research warehouse capacity planning using web search and summarize the top 2 findings with sources.,Must use only tools from the web_research toolset; Must return exactly 2 items,web research,"web_search,browser,validator","web_search,browser,validator,api_client",gt_web_research_warehouse_capacity_planning_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00067,file_operations,file_operations,hard,"Read compliance audit findings, transform it, and write 2 output files with the results.",Must use only tools from the file_operations toolset; Must return exactly 2 items; Must cite the source of every factual claim,file operations,"file_reader,file_writer,validator","file_reader,file_writer,validator",gt_file_operations_compliance_audit_findings_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00068,structured_extraction,structured_extraction,hard,Extract 3 structured fields describing compliance audit findings from the source file.,Must use only tools from the structured_extraction toolset; Must return exactly 3 items; Must cite the source of every factual claim,structured extraction,"file_reader,doc_retriever,validator","file_reader,doc_retriever,validator",gt_structured_extraction_compliance_audit_findings_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00069,rag,rag,easy,Answer the question about quarterly revenue trends grounded only in the retrieved 3 passages.,Must use only tools from the rag toolset,rag,"doc_retriever,web_search,validator","doc_retriever,web_search,validator",gt_rag_quarterly_revenue_trends_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00070,constraint_satisfaction,constraint_satisfaction,easy,Find an assignment for regional sales performance satisfying all 4 stated constraints.,Must use only tools from the constraint_satisfaction toolset,constraint satisfaction,"validator,calculator,sql_query","validator,calculator,sql_query",gt_constraint_satisfaction_regional_sales_performance_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00071,verification,verification,medium,Verify the 3 claims about subscription renewal rates against the source data and flag unsupported ones.,Must use only tools from the verification toolset; Must return exactly 3 items,verification,"validator,sql_query,calculator","validator,sql_query,calculator,web_search",gt_verification_subscription_renewal_rates_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00072,planning,planning,medium,Produce a 4-step plan to accomplish vendor contract terms respecting the stated constraints.,Must use only tools from the planning toolset; Must return exactly 4 items,planning,"doc_retriever,calculator,validator","doc_retriever,calculator,validator",gt_planning_vendor_contract_terms_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00073,coding,coding,easy,Write and run a script that solves marketing campaign ROI and returns the result for 3 test cases.,Must use only tools from the coding toolset,coding,"code_executor,file_reader,file_writer","code_executor,file_reader,file_writer",gt_coding_marketing_campaign_ROI_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00074,coding,coding,hard,Write and run a script that solves energy usage patterns and returns the result for 2 test cases.,Must use only tools from the coding toolset; Must return exactly 2 items; Must cite the source of every factual claim,coding,"code_executor,file_reader,file_writer","code_executor,file_reader,file_writer,sql_query",gt_coding_energy_usage_patterns_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00075,information_retrieval,information_retrieval,easy,Find the 2 most relevant sources for support ticket backlog and rank them by relevance.,Must use only tools from the information_retrieval toolset,information retrieval,"web_search,doc_retriever,validator","web_search,doc_retriever,validator,file_reader",gt_information_retrieval_support_ticket_backlog_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00076,constraint_satisfaction,constraint_satisfaction,easy,Find an assignment for competitor feature matrix satisfying all 5 stated constraints.,Must use only tools from the constraint_satisfaction toolset,constraint satisfaction,"validator,calculator,sql_query","validator,calculator,sql_query,code_executor",gt_constraint_satisfaction_competitor_feature_matrix_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00077,data_analysis,data_analysis,easy,Query the inventory reorder points table and compute the requested aggregate for the last 3 periods.,Must use only tools from the data_analysis toolset,data analysis,"sql_query,calculator,code_executor","sql_query,calculator,code_executor,api_client",gt_data_analysis_inventory_reorder_points_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00078,document_analysis,document_analysis,easy,Read the provided document set on shipping delay root causes and extract the 2 key claims with citations.,Must use only tools from the document_analysis toolset,document analysis,"doc_retriever,file_reader,validator","doc_retriever,file_reader,validator,sql_query",gt_document_analysis_shipping_delay_root_causes_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00079,planning,planning,medium,Produce a 5-step plan to accomplish support ticket backlog respecting the stated constraints.,Must use only tools from the planning toolset; Must return exactly 5 items,planning,"doc_retriever,calculator,validator","doc_retriever,calculator,validator,web_search",gt_planning_support_ticket_backlog_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00080,planning,planning,medium,Produce a 5-step plan to accomplish budget variance analysis respecting the stated constraints.,Must use only tools from the planning toolset; Must return exactly 5 items,planning,"doc_retriever,calculator,validator","doc_retriever,calculator,validator",gt_planning_budget_variance_analysis_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
