failure_id,run_id,step_id,failure_sequence,parent_failure_id,is_cascading,failure_type,failure_category,severity,severity_level,is_critical,failure_trigger,failure_description,recoverable
run_000011_f03,run_000011,run_000011_s021r,3,run_000011_f02,True,constraint_violation,reasoning,moderate-high,3,False,correct at step 13.239999999999998 in decision category 'correction'; cascaded from run_000011_f02,The final answer or an intermediate step violates an explicit task constraint.,True
run_000012_f01,run_000012,run_000012_s002,1,,False,unauthorized_action,execution,critical,4,True,tool_call at step 2 in decision category 'execution',The agent takes an action outside the scope granted by the task's stated constraints.,False
run_000016_f01,run_000016,run_000016_s004,1,,False,logical_error,reasoning,moderate,2,False,correct at step 4 in decision category 'correction',The agent's derivation contains an invalid logical step.,True
run_000016_f02,run_000016,run_000016_s007,2,run_000016_f01,True,incorrect_final_answer,output,high,3,True,tool_call at step 7 in decision category 'execution'; cascaded from run_000016_f01,The final answer does not match the ground truth for the task.,True
run_000018_f01,run_000018,run_000018_s001,1,,False,premature_execution,planning,moderate,2,False,plan at step 1 in decision category 'planning',The agent takes an execution action before gathering information required to do it correctly.,True
run_000018_f02,run_000018,run_000018_s004,2,run_000018_f01,True,state_tracking_error,state,moderate-high,3,False,tool_call at step 4 in decision category 'tool_selection'; cascaded from run_000018_f01,The agent's internal representation of task progress diverges from the actual trajectory state.,True
run_000018_f03,run_000018,run_000018_s008,3,,False,wrong_tool,tool_use,moderate,2,False,tool_call at step 8 in decision category 'retrieval',The agent selects a tool that cannot accomplish the current sub-goal.,True
run_000018_f04,run_000018,run_000018_s027r,4,,False,lost_context,state,moderate,2,False,correct at step 8.209999999999999 in decision category 'correction',"Long trajectories cause earlier, still-relevant context to no longer influence later decisions.",True
run_000019_f01,run_000019,run_000019_s002,1,,False,wrong_arguments,tool_use,low-moderate,1,False,tool_call at step 2 in decision category 'execution',"The correct tool is selected but called with malformed, mistyped, or semantically incorrect arguments.",True
run_000019_f02,run_000019,run_000019_s020r,2,,False,lost_context,state,moderate,2,False,correct at step 2.11 in decision category 'correction',"Long trajectories cause earlier, still-relevant context to no longer influence later decisions.",True
run_000019_f03,run_000019,run_000019_s006,3,,False,state_tracking_error,state,moderate-high,3,False,tool_call at step 6 in decision category 'execution',The agent's internal representation of task progress diverges from the actual trajectory state.,True
run_000019_f04,run_000019,run_000019_s010,4,,False,tool_loop,tool_use,high,3,True,tool_call at step 10 in decision category 'execution',The agent enters a cycle of tool calls that does not converge toward task completion.,False
run_000020_f01,run_000020,run_000020_s003,1,,False,wrong_arguments,tool_use,low-moderate,1,False,tool_call at step 3 in decision category 'tool_selection',"The correct tool is selected but called with malformed, mistyped, or semantically incorrect arguments.",True
run_000020_f02,run_000020,run_000020_s009,2,,False,repeated_tool_call,tool_use,low,1,False,tool_call at step 9 in decision category 'tool_selection',The agent calls the same tool with the same or near-identical arguments more than once without new information justifying it.,True
run_000020_f03,run_000020,run_000020_s010,3,,False,state_tracking_error,state,moderate-high,3,False,tool_call at step 10 in decision category 'execution',The agent's internal representation of task progress diverges from the actual trajectory state.,True
run_000020_f04,run_000020,run_000020_s011,4,,False,partial_execution,execution,moderate-high,3,False,tool_call at step 11 in decision category 'execution',A multi-part action only partially completes and the agent proceeds as if it fully completed.,True
run_000021_f01,run_000021,run_000021_s004,1,,False,partial_execution,execution,moderate-high,3,False,tool_call at step 4 in decision category 'execution',A multi-part action only partially completes and the agent proceeds as if it fully completed.,True
run_000021_f02,run_000021,run_000021_s014,2,,False,wrong_arguments,tool_use,low-moderate,1,False,tool_call at step 14 in decision category 'retrieval',"The correct tool is selected but called with malformed, mistyped, or semantically incorrect arguments.",True
run_000022_f01,run_000022,run_000022_s008,1,,False,unauthorized_action,execution,critical,4,True,tool_call at step 8 in decision category 'execution',The agent takes an action outside the scope granted by the task's stated constraints.,False
run_000027_f01,run_000027,run_000027_s001,1,,False,missing_prerequisite,planning,moderate,2,False,plan at step 1 in decision category 'planning',The plan omits a step whose output a later step depends on.,True
run_000027_f02,run_000027,run_000027_s004,2,,False,repeated_tool_call,tool_use,low,1,False,tool_call at step 4 in decision category 'retrieval',The agent calls the same tool with the same or near-identical arguments more than once without new information justifying it.,True
run_000028_f01,run_000028,run_000028_s002,1,,False,stale_information,retrieval,moderate,2,False,tool_call at step 2 in decision category 'retrieval',"The agent relies on retrieved information that was superseded by more recent, contradicting information available in the same session.",True
run_000029_f01,run_000029,run_000029_s003,1,,False,tool_misuse,tool_use,moderate,2,False,tool_call at step 3 in decision category 'tool_selection',The tool is used in a way that violates its documented contract or intended use.,True
run_000031_f01,run_000031,run_000031_s008,1,,False,stale_information,retrieval,moderate,2,False,tool_call at step 8 in decision category 'retrieval',"The agent relies on retrieved information that was superseded by more recent, contradicting information available in the same session.",True
run_000031_f02,run_000031,run_000031_s013r,2,,False,incorrect_inference,reasoning,moderate,2,False,correct at step 8.11 in decision category 'correction',The agent draws a conclusion not supported by the available evidence.,True
run_000031_f03,run_000031,run_000031_s014r,3,,False,incorrect_inference,reasoning,moderate,2,False,correct at step 8.12 in decision category 'correction',The agent draws a conclusion not supported by the available evidence.,True
run_000036_f01,run_000036,run_000036_s002,1,,False,wrong_tool,tool_use,moderate,2,False,tool_call at step 2 in decision category 'tool_selection',The agent selects a tool that cannot accomplish the current sub-goal.,True
run_000036_f02,run_000036,run_000036_s005,2,,False,repeated_tool_call,tool_use,low,1,False,tool_call at step 5 in decision category 'tool_selection',The agent calls the same tool with the same or near-identical arguments more than once without new information justifying it.,True
run_000037_f01,run_000037,run_000037_s003,1,,False,state_tracking_error,state,moderate-high,3,False,tool_call at step 3 in decision category 'execution',The agent's internal representation of task progress diverges from the actual trajectory state.,True
run_000038_f01,run_000038,run_000038_s009,1,,False,repeated_tool_call,tool_use,low,1,False,tool_call at step 9 in decision category 'tool_selection',The agent calls the same tool with the same or near-identical arguments more than once without new information justifying it.,True
run_000038_f02,run_000038,run_000038_s016r,2,,False,state_tracking_error,state,moderate-high,3,False,correct at step 9.12 in decision category 'correction',The agent's internal representation of task progress diverges from the actual trajectory state.,True
run_000038_f03,run_000038,run_000038_s019r,3,,False,memory_failure,state,low-moderate,1,False,correct at step 9.249999999999998 in decision category 'correction',The agent fails to carry forward information established earlier in the same run.,True
run_000042_f01,run_000042,run_000042_s010,1,,False,repeated_tool_call,tool_use,low,1,False,tool_call at step 10 in decision category 'execution',The agent calls the same tool with the same or near-identical arguments more than once without new information justifying it.,True
run_000043_f01,run_000043,run_000043_s009,1,,False,wrong_arguments,tool_use,low-moderate,1,False,tool_call at step 9 in decision category 'retrieval',"The correct tool is selected but called with malformed, mistyped, or semantically incorrect arguments.",True
run_000043_f02,run_000043,run_000043_s013r,2,,False,lost_context,state,moderate,2,False,correct at step 9.11 in decision category 'correction',"Long trajectories cause earlier, still-relevant context to no longer influence later decisions.",True
run_000046_f01,run_000046,run_000046_s002,1,,False,unauthorized_action,execution,critical,4,True,tool_call at step 2 in decision category 'execution',The agent takes an action outside the scope granted by the task's stated constraints.,False
run_000047_f01,run_000047,run_000047_s004,1,,False,tool_loop,tool_use,high,3,True,tool_call at step 4 in decision category 'execution',The agent enters a cycle of tool calls that does not converge toward task completion.,False
run_000051_f01,run_000051,run_000051_s005,1,,False,incorrect_inference,reasoning,moderate,2,False,verify at step 5 in decision category 'verification',The agent draws a conclusion not supported by the available evidence.,True
run_000054_f01,run_000054,run_000054_s003,1,,False,retrieval_miss,retrieval,moderate,2,False,tool_call at step 3 in decision category 'retrieval',A retrieval/search action fails to surface information that was available and necessary.,True
run_000054_f02,run_000054,run_000054_s014r,2,,False,logical_error,reasoning,moderate,2,False,correct at step 3.22 in decision category 'correction',The agent's derivation contains an invalid logical step.,True
run_000054_f03,run_000054,run_000054_s017r,3,run_000054_f02,True,incorrect_final_answer,output,high,3,True,correct at step 3.4400000000000004 in decision category 'correction'; cascaded from run_000054_f02,The final answer does not match the ground truth for the task.,True
run_000058_f01,run_000058,run_000058_s002,1,,False,wrong_tool,tool_use,moderate,2,False,tool_call at step 2 in decision category 'retrieval',The agent selects a tool that cannot accomplish the current sub-goal.,True
run_000058_f02,run_000058,run_000058_s007r,2,run_000058_f01,True,failed_execution,execution,moderate-high,3,False,correct at step 2.11 in decision category 'correction'; cascaded from run_000058_f01,An execution action returns an error and the agent's trajectory does not account for it.,True
run_000060_f01,run_000060,run_000060_s010,1,,False,memory_failure,state,low-moderate,1,False,tool_call at step 10 in decision category 'execution',The agent fails to carry forward information established earlier in the same run.,True
run_000060_f02,run_000060,run_000060_s013r,2,,False,lost_context,state,moderate,2,False,correct at step 10.11 in decision category 'correction',"Long trajectories cause earlier, still-relevant context to no longer influence later decisions.",True
run_000061_f01,run_000061,run_000061_s007,1,,False,wrong_arguments,tool_use,low-moderate,1,False,tool_call at step 7 in decision category 'retrieval',"The correct tool is selected but called with malformed, mistyped, or semantically incorrect arguments.",True
run_000062_f01,run_000062,run_000062_s004,1,,False,state_tracking_error,state,moderate-high,3,False,tool_call at step 4 in decision category 'execution',The agent's internal representation of task progress diverges from the actual trajectory state.,True
run_000062_f02,run_000062,run_000062_s010r,2,run_000062_f01,True,claimed_success_after_failure,output,critical,4,True,correct at step 4.109999999999999 in decision category 'correction'; cascaded from run_000062_f01,The agent reports task success despite the trajectory containing an unresolved critical failure.,False
run_000063_f01,run_000063,run_000063_s001,1,,False,incorrect_decomposition,planning,moderate-high,3,False,plan at step 1 in decision category 'planning',"The agent splits the task into sub-goals that do not, even if all completed, satisfy the original request.",True
run_000063_f02,run_000063,run_000063_s005,2,,False,partial_execution,execution,moderate-high,3,False,tool_call at step 5 in decision category 'execution',A multi-part action only partially completes and the agent proceeds as if it fully completed.,True
run_000064_f01,run_000064,run_000064_s008,1,,False,lost_context,state,moderate,2,False,correct at step 8 in decision category 'correction',"Long trajectories cause earlier, still-relevant context to no longer influence later decisions.",True
run_000065_f01,run_000065,run_000065_s001,1,,False,premature_execution,planning,moderate,2,False,plan at step 1 in decision category 'planning',The agent takes an execution action before gathering information required to do it correctly.,True
run_000065_f02,run_000065,run_000065_s006,2,,False,repeated_tool_call,tool_use,low,1,False,tool_call at step 6 in decision category 'retrieval',The agent calls the same tool with the same or near-identical arguments more than once without new information justifying it.,True
run_000069_f01,run_000069,run_000069_s003,1,,False,lost_context,state,moderate,2,False,tool_call at step 3 in decision category 'execution',"Long trajectories cause earlier, still-relevant context to no longer influence later decisions.",True
run_000070_f01,run_000070,run_000070_s013,1,,False,false_verification,verification,high,3,True,verify at step 13 in decision category 'verification',The agent runs a verification step but the check itself is flawed and passes incorrect work.,False
run_000071_f01,run_000071,run_000071_s004,1,,False,state_tracking_error,state,moderate-high,3,False,tool_call at step 4 in decision category 'execution',The agent's internal representation of task progress diverges from the actual trajectory state.,True
run_000071_f02,run_000071,run_000071_s015r,2,run_000071_f01,True,lost_context,state,moderate,2,False,correct at step 4.119999999999999 in decision category 'correction'; cascaded from run_000071_f01,"Long trajectories cause earlier, still-relevant context to no longer influence later decisions.",True
run_000071_f03,run_000071,run_000071_s017r,3,,False,state_tracking_error,state,moderate-high,3,False,correct at step 4.239999999999998 in decision category 'correction',The agent's internal representation of task progress diverges from the actual trajectory state.,True
run_000073_f01,run_000073,run_000073_s001,1,,False,wrong_sequence,planning,low-moderate,1,False,plan at step 1 in decision category 'planning',Necessary steps are present but ordered so that a later step cannot use an earlier step's output correctly.,True
run_000073_f02,run_000073,run_000073_s009,2,,False,wrong_tool,tool_use,moderate,2,False,tool_call at step 9 in decision category 'retrieval',The agent selects a tool that cannot accomplish the current sub-goal.,True
run_000073_f03,run_000073,run_000073_s014r,3,,False,memory_failure,state,low-moderate,1,False,correct at step 9.11 in decision category 'correction',The agent fails to carry forward information established earlier in the same run.,True
run_000074_f01,run_000074,run_000074_s001,1,,False,wrong_sequence,planning,low-moderate,1,False,plan at step 1 in decision category 'planning',Necessary steps are present but ordered so that a later step cannot use an earlier step's output correctly.,True
run_000074_f02,run_000074,run_000074_s002,2,,False,wrong_tool,tool_use,moderate,2,False,tool_call at step 2 in decision category 'execution',The agent selects a tool that cannot accomplish the current sub-goal.,True
run_000074_f03,run_000074,run_000074_s003,3,,False,unauthorized_action,execution,critical,4,True,tool_call at step 3 in decision category 'execution',The agent takes an action outside the scope granted by the task's stated constraints.,False
run_000075_f01,run_000075,run_000075_s014,1,,False,context_conflict,retrieval,moderate-high,3,False,tool_call at step 14 in decision category 'retrieval',Two retrieved sources disagree and the agent does not detect or resolve the conflict.,True
run_000075_f02,run_000075,run_000075_s020r,2,,False,memory_failure,state,low-moderate,1,False,correct at step 14.12 in decision category 'correction',The agent fails to carry forward information established earlier in the same run.,True
run_000075_f03,run_000075,run_000075_s021r,3,,False,lost_context,state,moderate,2,False,correct at step 14.229999999999999 in decision category 'correction',"Long trajectories cause earlier, still-relevant context to no longer influence later decisions.",True
run_000080_f01,run_000080,run_000080_s005,1,,False,logical_error,reasoning,moderate,2,False,correct at step 5 in decision category 'correction',The agent's derivation contains an invalid logical step.,True
run_000080_f02,run_000080,run_000080_s009,2,,False,wrong_arguments,tool_use,low-moderate,1,False,tool_call at step 9 in decision category 'execution',"The correct tool is selected but called with malformed, mistyped, or semantically incorrect arguments.",True
run_000082_f01,run_000082,run_000082_s006,1,,False,lost_context,state,moderate,2,False,tool_call at step 6 in decision category 'execution',"Long trajectories cause earlier, still-relevant context to no longer influence later decisions.",True
run_000082_f02,run_000082,run_000082_s007,2,,False,stale_information,retrieval,moderate,2,False,tool_call at step 7 in decision category 'retrieval',"The agent relies on retrieved information that was superseded by more recent, contradicting information available in the same session.",True
run_000082_f03,run_000082,run_000082_s016r,3,,False,state_tracking_error,state,moderate-high,3,False,correct at step 7.109999999999999 in decision category 'correction',The agent's internal representation of task progress diverges from the actual trajectory state.,True
run_000082_f04,run_000082,run_000082_s011,4,,False,tool_misuse,tool_use,moderate,2,False,tool_call at step 11 in decision category 'tool_selection',The tool is used in a way that violates its documented contract or intended use.,True
run_000084_f01,run_000084,run_000084_s017,1,,False,hallucinated_result,output,critical,4,True,finalize at step 17 in decision category 'finalization',The final answer includes specific claims not traceable to any tool observation in the trajectory.,False
run_000085_f01,run_000085,run_000085_s003,1,,False,tool_loop,tool_use,high,3,True,tool_call at step 3 in decision category 'execution',The agent enters a cycle of tool calls that does not converge toward task completion.,False
run_000087_f01,run_000087,run_000087_s007,1,,False,memory_failure,state,low-moderate,1,False,tool_call at step 7 in decision category 'execution',The agent fails to carry forward information established earlier in the same run.,True
run_000088_f01,run_000088,run_000088_s011,1,,False,context_conflict,retrieval,moderate-high,3,False,tool_call at step 11 in decision category 'retrieval',Two retrieved sources disagree and the agent does not detect or resolve the conflict.,True
run_000089_f01,run_000089,run_000089_s002,1,,False,retrieval_miss,retrieval,moderate,2,False,tool_call at step 2 in decision category 'retrieval',A retrieval/search action fails to surface information that was available and necessary.,True
run_000089_f02,run_000089,run_000089_s016r,2,run_000089_f01,True,unsupported_conclusion,verification,high,3,True,correct at step 2.23 in decision category 'correction'; cascaded from run_000089_f01,The agent presents a conclusion as verified when no verification actually occurred.,False
run_000091_f01,run_000091,run_000091_s009,1,,False,wrong_tool,tool_use,moderate,2,False,tool_call at step 9 in decision category 'tool_selection',The agent selects a tool that cannot accomplish the current sub-goal.,True
run_000091_f02,run_000091,run_000091_s012r,2,,False,incorrect_inference,reasoning,moderate,2,False,correct at step 9.11 in decision category 'correction',The agent draws a conclusion not supported by the available evidence.,True
run_000092_f01,run_000092,run_000092_s004,1,,False,tool_loop,tool_use,high,3,True,tool_call at step 4 in decision category 'retrieval',The agent enters a cycle of tool calls that does not converge toward task completion.,False
run_000094_f01,run_000094,run_000094_s002,1,,False,state_tracking_error,state,moderate-high,3,False,tool_call at step 2 in decision category 'execution',The agent's internal representation of task progress diverges from the actual trajectory state.,True
run_000095_f01,run_000095,run_000095_s005,1,,False,tool_loop,tool_use,high,3,True,tool_call at step 5 in decision category 'tool_selection',The agent enters a cycle of tool calls that does not converge toward task completion.,False
run_000098_f01,run_000098,run_000098_s001,1,,False,missing_prerequisite,planning,moderate,2,False,plan at step 1 in decision category 'planning',The plan omits a step whose output a later step depends on.,True
run_000098_f02,run_000098,run_000098_s017r,2,run_000098_f01,True,failed_execution,execution,moderate-high,3,False,correct at step 1.22 in decision category 'correction'; cascaded from run_000098_f01,An execution action returns an error and the agent's trajectory does not account for it.,True
run_000098_f03,run_000098,run_000098_s003,3,,False,tool_misuse,tool_use,moderate,2,False,tool_call at step 3 in decision category 'tool_selection',The tool is used in a way that violates its documented contract or intended use.,True
run_000099_f01,run_000099,run_000099_s001,1,,False,wrong_sequence,planning,low-moderate,1,False,plan at step 1 in decision category 'planning',Necessary steps are present but ordered so that a later step cannot use an earlier step's output correctly.,True
run_000100_f01,run_000100,run_000100_s009,1,,False,state_tracking_error,state,moderate-high,3,False,tool_call at step 9 in decision category 'execution',The agent's internal representation of task progress diverges from the actual trajectory state.,True
run_000106_f01,run_000106,run_000106_s004,1,,False,tool_loop,tool_use,high,3,True,tool_call at step 4 in decision category 'tool_selection',The agent enters a cycle of tool calls that does not converge toward task completion.,False
run_000108_f01,run_000108,run_000108_s006,1,,False,memory_failure,state,low-moderate,1,False,tool_call at step 6 in decision category 'execution',The agent fails to carry forward information established earlier in the same run.,True
run_000108_f02,run_000108,run_000108_s009,2,run_000108_f01,True,constraint_violation,reasoning,moderate-high,3,False,tool_call at step 9 in decision category 'execution'; cascaded from run_000108_f01,The final answer or an intermediate step violates an explicit task constraint.,True
run_000109_f01,run_000109,run_000109_s003,1,,False,memory_failure,state,low-moderate,1,False,tool_call at step 3 in decision category 'execution',The agent fails to carry forward information established earlier in the same run.,True
run_000109_f02,run_000109,run_000109_s004,2,run_000109_f01,True,constraint_violation,reasoning,moderate-high,3,False,correct at step 4 in decision category 'correction'; cascaded from run_000109_f01,The final answer or an intermediate step violates an explicit task constraint.,True
run_000109_f03,run_000109,run_000109_s008,3,,False,stale_information,retrieval,moderate,2,False,tool_call at step 8 in decision category 'retrieval',"The agent relies on retrieved information that was superseded by more recent, contradicting information available in the same session.",True
run_000110_f01,run_000110,run_000110_s007,1,,False,wrong_arguments,tool_use,low-moderate,1,False,tool_call at step 7 in decision category 'tool_selection',"The correct tool is selected but called with malformed, mistyped, or semantically incorrect arguments.",True
run_000111_f01,run_000111,run_000111_s001,1,,False,incorrect_decomposition,planning,moderate-high,3,False,plan at step 1 in decision category 'planning',"The agent splits the task into sub-goals that do not, even if all completed, satisfy the original request.",True
run_000113_f01,run_000113,run_000113_s008,1,,False,memory_failure,state,low-moderate,1,False,tool_call at step 8 in decision category 'execution',The agent fails to carry forward information established earlier in the same run.,True
run_000113_f02,run_000113,run_000113_s009,2,,False,tool_misuse,tool_use,moderate,2,False,tool_call at step 9 in decision category 'tool_selection',The tool is used in a way that violates its documented contract or intended use.,True
run_000114_f01,run_000114,run_000114_s006,1,,False,wrong_tool,tool_use,moderate,2,False,tool_call at step 6 in decision category 'tool_selection',The agent selects a tool that cannot accomplish the current sub-goal.,True
run_000114_f02,run_000114,run_000114_s007,2,run_000114_f01,True,partial_execution,execution,moderate-high,3,False,tool_call at step 7 in decision category 'execution'; cascaded from run_000114_f01,A multi-part action only partially completes and the agent proceeds as if it fully completed.,True
run_000114_f03,run_000114,run_000114_s015r,3,run_000114_f02,True,incomplete_answer,output,moderate,2,False,correct at step 7.21 in decision category 'correction'; cascaded from run_000114_f02,The final answer addresses only part of a multi-part task.,True
run_000114_f04,run_000114,run_000114_s016r,4,,False,logical_error,reasoning,moderate,2,False,correct at step 7.22 in decision category 'correction',The agent's derivation contains an invalid logical step.,True
run_000115_f01,run_000115,run_000115_s003,1,,False,unauthorized_action,execution,critical,4,True,tool_call at step 3 in decision category 'execution',The agent takes an action outside the scope granted by the task's stated constraints.,False
run_000117_f01,run_000117,run_000117_s008,1,,False,incomplete_answer,output,moderate,2,False,finalize at step 8 in decision category 'finalization',The final answer addresses only part of a multi-part task.,True
run_000118_f01,run_000118,run_000118_s001,1,,False,incorrect_decomposition,planning,moderate-high,3,False,plan at step 1 in decision category 'planning',"The agent splits the task into sub-goals that do not, even if all completed, satisfy the original request.",True
run_000120_f01,run_000120,run_000120_s004,1,,False,memory_failure,state,low-moderate,1,False,tool_call at step 4 in decision category 'execution',The agent fails to carry forward information established earlier in the same run.,True
run_000120_f02,run_000120,run_000120_s009,2,,False,memory_failure,state,low-moderate,1,False,correct at step 9 in decision category 'correction',The agent fails to carry forward information established earlier in the same run.,True
run_000120_f03,run_000120,run_000120_s026r,3,,False,memory_failure,state,low-moderate,1,False,correct at step 9.11 in decision category 'correction',The agent fails to carry forward information established earlier in the same run.,True
run_000120_f04,run_000120,run_000120_s028r,4,,False,logical_error,reasoning,moderate,2,False,correct at step 9.129999999999999 in decision category 'correction',The agent's derivation contains an invalid logical step.,True
run_000121_f01,run_000121,run_000121_s010,1,,False,stale_information,retrieval,moderate,2,False,tool_call at step 10 in decision category 'retrieval',"The agent relies on retrieved information that was superseded by more recent, contradicting information available in the same session.",True
run_000121_f02,run_000121,run_000121_s015,2,run_000121_f01,True,context_conflict,retrieval,moderate-high,3,False,correct at step 15 in decision category 'correction'; cascaded from run_000121_f01,Two retrieved sources disagree and the agent does not detect or resolve the conflict.,True
run_000125_f01,run_000125,run_000125_s007,1,,False,failed_execution,execution,moderate-high,3,False,tool_call at step 7 in decision category 'execution',An execution action returns an error and the agent's trajectory does not account for it.,True
run_000126_f01,run_000126,run_000126_s003,1,,False,failed_execution,execution,moderate-high,3,False,tool_call at step 3 in decision category 'execution',An execution action returns an error and the agent's trajectory does not account for it.,True
run_000126_f02,run_000126,run_000126_s005,2,,False,retrieval_miss,retrieval,moderate,2,False,tool_call at step 5 in decision category 'retrieval',A retrieval/search action fails to surface information that was available and necessary.,True
run_000126_f03,run_000126,run_000126_s006,3,run_000126_f02,True,incomplete_answer,output,moderate,2,False,correct at step 6 in decision category 'correction'; cascaded from run_000126_f02,The final answer addresses only part of a multi-part task.,True
run_000127_f01,run_000127,run_000127_s008,1,,False,tool_loop,tool_use,high,3,True,tool_call at step 8 in decision category 'execution',The agent enters a cycle of tool calls that does not converge toward task completion.,False
run_000128_f01,run_000128,run_000128_s001,1,,False,premature_execution,planning,moderate,2,False,plan at step 1 in decision category 'planning',The agent takes an execution action before gathering information required to do it correctly.,True
run_000129_f01,run_000129,run_000129_s006,1,,False,repeated_tool_call,tool_use,low,1,False,tool_call at step 6 in decision category 'execution',The agent calls the same tool with the same or near-identical arguments more than once without new information justifying it.,True
run_000133_f01,run_000133,run_000133_s003,1,,False,repeated_tool_call,tool_use,low,1,False,tool_call at step 3 in decision category 'retrieval',The agent calls the same tool with the same or near-identical arguments more than once without new information justifying it.,True
run_000133_f02,run_000133,run_000133_s015r,2,,False,incorrect_inference,reasoning,moderate,2,False,correct at step 3.23 in decision category 'correction',The agent draws a conclusion not supported by the available evidence.,True
run_000133_f03,run_000133,run_000133_s004,3,run_000133_f02,True,incorrect_final_answer,output,high,3,True,tool_call at step 4 in decision category 'tool_selection'; cascaded from run_000133_f02,The final answer does not match the ground truth for the task.,True
run_000134_f01,run_000134,run_000134_s002,1,,False,state_tracking_error,state,moderate-high,3,False,tool_call at step 2 in decision category 'execution',The agent's internal representation of task progress diverges from the actual trajectory state.,True
run_000134_f02,run_000134,run_000134_s003,2,,False,irrelevant_retrieval,retrieval,low-moderate,1,False,tool_call at step 3 in decision category 'retrieval',Retrieved content is topically unrelated to the information need.,True
run_000135_f01,run_000135,run_000135_s003,1,,False,stale_information,retrieval,moderate,2,False,tool_call at step 3 in decision category 'retrieval',"The agent relies on retrieved information that was superseded by more recent, contradicting information available in the same session.",True
run_000135_f02,run_000135,run_000135_s006,2,,False,state_tracking_error,state,moderate-high,3,False,tool_call at step 6 in decision category 'execution',The agent's internal representation of task progress diverges from the actual trajectory state.,True
run_000137_f01,run_000137,run_000137_s007,1,,False,state_tracking_error,state,moderate-high,3,False,tool_call at step 7 in decision category 'execution',The agent's internal representation of task progress diverges from the actual trajectory state.,True
run_000137_f02,run_000137,run_000137_s017,2,,False,incorrect_inference,reasoning,moderate,2,False,verify at step 17 in decision category 'verification',The agent draws a conclusion not supported by the available evidence.,True
run_000138_f01,run_000138,run_000138_s006,1,,False,repeated_tool_call,tool_use,low,1,False,tool_call at step 6 in decision category 'tool_selection',The agent calls the same tool with the same or near-identical arguments more than once without new information justifying it.,True
run_000138_f02,run_000138,run_000138_s022r,2,,False,state_tracking_error,state,moderate-high,3,False,correct at step 6.109999999999999 in decision category 'correction',The agent's internal representation of task progress diverges from the actual trajectory state.,True
run_000138_f03,run_000138,run_000138_s007,3,run_000138_f02,True,claimed_success_after_failure,output,critical,4,True,tool_call at step 7 in decision category 'execution'; cascaded from run_000138_f02,The agent reports task success despite the trajectory containing an unresolved critical failure.,False
run_000139_f01,run_000139,run_000139_s003,1,,False,unauthorized_action,execution,critical,4,True,tool_call at step 3 in decision category 'execution',The agent takes an action outside the scope granted by the task's stated constraints.,False
run_000140_f01,run_000140,run_000140_s013,1,,False,incomplete_answer,output,moderate,2,False,finalize at step 13 in decision category 'finalization',The final answer addresses only part of a multi-part task.,True
run_000141_f01,run_000141,run_000141_s006,1,,False,repeated_tool_call,tool_use,low,1,False,tool_call at step 6 in decision category 'execution',The agent calls the same tool with the same or near-identical arguments more than once without new information justifying it.,True
